DATAFLOW,LAST UPDATE,freq,unit,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1985,6770.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1986,6930.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1987,7239.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1988,7583.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1989,7900.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1990,8312.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1991,8698.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1992,9105.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1993,9364.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1994,9701.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1995,10032.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1996,10272.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1997,10558.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1998,10867.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,1999,10771.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2000,10939.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2001,11228.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2002,11335.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2003,11488.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2004,11757.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2005,12065.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2006,12488.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2007,12725.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2008,12735.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2009,12979.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2010,13219.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2011,13403.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2012,13657.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2013,13924,b
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2014,14130.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2015,14275.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2016,13834,b
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2017,13745.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2019,13581.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2020,13280.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2021,13277.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Austria,2022,13214.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2000,12261.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2001,12303.00,
ESTAT:HLTH_RS_PHYSCAT(1.0),11/12/24 23:00:00,Annual,Number,Generalist medical practitioners,Belgium,2002,12346.00,
